AT,V,PE
7.91,41.79,479.02
22.35,63.47,440.11
17.65,62.1,452.2
16.96,52.9,460.2
18.71,53.16,455.7
24.22,61.86,442.65
23.61,59.39,438.08
14.01,45.08,464.79
31.33,76.86,431.44
12.86,44.77,468.43
16.4,38.01,463.79
22.49,58.82,444.11
23.75,61.5,442.35
28.92,66.51,439.09
12.11,41.17,475.53
13.64,43.71,468.85
28.52,57.82,435.4
24.79,59.21,446.04
24.27,60.37,437.78
31.59,62.7,442.58
23.25,51.86,450.22
22.1,58.33,441.31
24.97,54.2,439.71
11.96,43.41,469.34
35.03,68.27,426.22
17.97,65.94,448.88
24.24,70.32,436.45
5.04,40.64,484.42
17.18,40.55,461.73
11.24,25.36,469.92
32.69,72.86,431.76
27.6,73.42,431.44
7.5,38.06,485.98
22.15,43.77,448.46
18.18,44.63,455.57
17.19,37.2,468.4
10.42,43.79,474.79
12.74,49.83,466.09
27.43,56.85,436.64
23.68,68.12,441.54
13.83,42.86,470.21
16.58,41.93,466.61
13.41,45,478.96
16.61,50.9,460.35
3.99,39.9,490.91
23.39,63.21,448.3
14.42,41.16,467.25
7.11,43.13,486.11
13.7,45.64,467.9
24.43,65.18,437.26
27.39,69.14,435.22
26.94,62.91,449.1
19.09,42.44,461.84
15.46,44.6,459.62
31.94,74.99,440.17
10.58,41.49,473.19
19.95,58.46,447.1
5.82,40.62,482.67
12.72,44.9,463.49
14.87,54.3,462.87
29.17,67.45,435.08
14.13,43.7,469.28
22.67,60.77,444.43
28.01,64.69,440.23
30.93,70.83,440.59
23.01,66.54,442.47
32.53,77.95,434.44
26.57,44.57,445.49
11.64,40.1,477.2
16.31,42.28,466.49
20.03,45.01,460.11
20.79,65.59,450.3
17.3,42.24,469.21
25.86,61.08,449.67
9.8,41.82,473.72
25.42,75.6,438.24
28.75,77.24,433.03
18.58,46.97,454.26
22.56,70.79,435.14
23.05,48.98,446.05
26.78,52.3,441.21
10.13,39.18,479.42
31.97,69.04,441.18
8.95,36.18,478.07
7.57,39.61,480.86
25.97,43.21,434.83
24.56,60.27,440.31
30.71,64.05,438.42
13.8,39.39,471.7
20.21,58.12,453.19
16.77,45.01,458.22
29.18,71.43,443.75
17.86,52.9,457.42
4.24,39.9,491.25
24.11,59.27,444.35
15.5,40.12,460.41
9.62,41.01,467.34
5.05,35.57,491.4
26.81,71.29,434.48
15.68,39.16,461.98
21.85,63.86,445.62
30.98,67.45,433.59
30.14,67.69,426.91
29.89,71.29,431.45
29.42,56.9,439.51
26.6,61.02,436.19
19.64,48.06,455.27
13.16,54.3,468.4
33.17,70.4,430.14
16.14,44.71,468.88
25.34,71.06,434.86
21.12,63.56,445.9
13.41,39.35,471.85
13.38,40.12,468.15
17.27,43.52,460.08
16.69,46.18,466.03
7.8,39.04,482.31
27.14,75.23,439.33
21.08,44.05,449.6
32.23,69.13,426.9
13.48,40.73,463.6
10.45,40,465.43
25.43,70.17,436.43
7.09,39.37,487
31.24,74.22,430.44
21.92,61.87,445.52
10.74,52.75,467.48
13.67,41.48,463.97
9.79,39.69,471.61
14.04,39.64,472.31
24.43,61.25,436.05
14.88,42.28,466.73
10.68,38.38,476.22
14.22,42.32,465
14.47,44.66,464.41
7.19,40.81,487.15
11.73,37.92,472.04
10.94,43.67,477.34
14.44,39,466.96
24.53,74.78,446.3
29.72,54.2,438.84
17.52,44.05,455.72
12.99,44,470.93
10.04,39.66,480.63
30.5,66.75,432.87
33.11,69.75,437.19
13.41,40.89,472.4
26.98,74.78,442.28
15.19,42.03,462.64
28.24,64.69,438.03
29.04,60.07,438.5
13.74,45.08,466.79
12.58,39.72,471.24
17.3,47.45,448.79
28,69.05,427.71
15.15,53.82,461.6
25.47,65.34,445.39
20.78,68.28,450.57
26.12,49.02,438.52
13.78,40.73,462.59
26.28,68.14,435.71
27.76,75.33,433.03
18.26,49.64,462.6
6.4,39.18,484.44
26.31,44.57,452.73
32.89,73.68,426.46
6.74,36.08,484.18
22.69,65.18,441.18
33.11,77.54,431.77
22.28,58.86,446.55
28.84,75.6,442.69
31.75,74.99,430.82
9.6,41.82,475.01
21.54,69.48,443.15
13.33,38.47,466.26
12.73,37.73,470.89
28.73,68.24,430.63
9,43.13,481.09
31.1,68.51,428.68
28.81,56.86,434.08
14.95,42.74,464.31
23.04,48.06,459.36
24.04,68.94,437.13
27.69,65.34,442.84
28.82,64.79,445.1
25.23,69.34,445.92
8.77,40.77,480.56
7.61,44.71,485.36
28.37,75.6,439.25
21.82,50.66,455.2
14.82,42.74,466.34
13.97,52.05,463.64
31.74,72.25,437.29
27.27,72.58,428.93
23.95,58.79,448.32
29.08,66.54,430.16
28.3,64.33,441.51
12.66,43.67,472.44
30.12,74.16,433.08
29.44,65.51,445.67
25.95,59.92,443.93
32.5,71.37,433.7
23.97,44.57,448.17
21.97,58.12,449.6
32.17,73.21,430.64
12.35,40.73,466.71
18.03,53.16,458.04
32.07,71.29,426.96
31.39,69.59,435.76
11.92,40.62,468.14
10.65,41.78,474.27
31.24,68.3,435.2
9.13,39.04,483.24
23.39,71.25,435.68
11.95,42.03,465.2
33.3,68.14,426.88
24.27,61.47,448.66
18.13,39.72,455.81
21.9,55.5,456.52
27.52,67.9,439.01
16.76,48.14,456.31
12.77,36.71,475.59
16.44,53.82,462.09
29.01,70.32,429.23
18.9,57.5,451.42
22.33,71.94,441.85
26.58,59.39,439.46
17.36,52.9,458.66
28.18,64.84,443.65
24.63,59.57,440.67
13.62,40.2,465.74
16.62,54.3,459.59
17.33,41.35,460.46
20.72,63.94,447.69
6.89,39.37,486.9
33.61,69.88,435.99
27.38,59.21,437.78
23.21,63.94,446.11
26.13,71.25,430.6
15.18,44.2,462.09
5.66,39.42,482.11
15.75,36.99,464.38
29.45,75.6,437.31
20.12,69.45,442.89
22.8,73.17,437.98
29.93,71.85,426.82
29.25,72.99,429.12
34.14,74.34,434.23
19.47,58.79,450.17
24.03,58.46,442.03
12.71,43.02,475.38
26.6,61.41,451.4
27.09,65.61,442.94
26.44,71.77,430.12
28.31,65.71,447.26
10.87,44.71,484.63
29.54,69.48,427.82
15.98,41.48,456.31
24.27,70.47,434.24
29.78,70.98,436.32
24.05,64.69,438.36
28.59,80.18,431.55
13.97,40.24,467.93
11.56,40.43,489.54
20.07,49.21,454.25
31.19,68.3,430.48
18.39,67.71,444.63
9.78,43.8,477.22
29.26,69.34,435.32
9.53,38.38,478.03
22.32,48.41,445.36
18.95,42.23,462.73
11.55,42.34,469.13
27.3,65.12,442.78
22.1,68.63,449.54
17.12,68.28,449.94
14.85,45.87,462.67
10.33,40.69,480.18
19.45,46.33,452.82
12.16,40.81,476.63
7.65,36.3,482.56
4.31,38.5,492.92
19.04,43.43,453.32
26.02,70.79,428.72
26.09,60.29,444.71
27.14,65.27,441.68
22.67,58.2,446.36
7.28,40.67,493.3
25.62,73.17,430.56
22.33,59.8,450.07
23.93,68.28,444.95
29.07,51.43,438.79
15.79,50.88,460.19
28.81,64.96,427.91
17.07,44.9,460.19
32.51,69.98,428.37
22.11,59.8,453.45
18.41,62.1,457.14
28.9,71.25,431.52
10.47,44.21,476.02
10.09,37.14,473.66
27.09,73.5,434.31
17.44,44.89,457.67
23.76,58.82,444.57
31.11,69.05,433.19
23.86,63.77,440.58
15.09,40.89,466.47
9.26,39.61,480.38
15.83,52.75,458.6
9.96,39.66,480.6
19.3,65.59,452.76
19.91,51.19,449.23
23.18,51.43,449.94
19.13,45.38,459.94
24.6,63.78,448.65
29.38,74.9,433.74
29.15,69.48,430.54
31.03,69.59,432.56
21.84,45.09,450.88
6.28,43.02,487.17
22.48,50.32,444.5
31.51,71.97,430.11
15.67,41.1,466.45
13.24,39.16,474.48
17.1,43.52,461.51
32.32,67.9,428.12
23.51,63.78,446.58
13.58,40.75,472.73
12.43,40.27,470.92
16.37,39.64,463.91
7.64,43.79,486.01
21.03,59.8,453.86
33.37,73.88,436.76
18.92,62.26,451.51
20.61,48.78,449.38
22.38,63.31,441.3
30.2,73.67,428.72
31.02,70.4,431.37
17.64,57.76,455.75
28.85,58.33,444
22.4,70.94,440.04
19.13,68.61,448.69
23.79,59.44,448.67
22.12,60.37,439.18
29.14,67.45,433.34
20.17,56.03,458.04
29.3,74.16,431.32
5.7,40.62,482.82
25.5,68.08,436.07
16.06,47.45,450.62
27.75,65.34,440.83
25.12,66.56,436.56
22.78,62.44,446.12
29.3,69.48,429.42
8.01,40.02,477.84
16.58,38.01,464.03
17.08,58.86,449.98
17.54,44.58,465.51
26.93,56.9,444.7
22.52,67.32,443.49
13.48,46.18,464.58
9.05,40,472.41
19.93,56.65,456.53
29.68,64.33,441.79
30.52,70.04,431.14
12.54,40.8,479.65
27.6,69.05,436.08
18.48,46.48,461.49
15.24,48.6,459.85
4.41,42.07,488.36
15.82,44.88,461.9
24.65,72.43,437.59
19.02,52.72,461.57
23.32,69.13,435.27
23.99,68.12,437.14
10.12,39.96,471.6
12.53,43.56,469.23
18.11,52.08,449.99
24.94,59.07,440.12
30.92,59.57,440.96
12.68,45.01,448.69
25.41,66.49,449.2
14.12,39.4,468.63
28.33,64.96,427.42
14.77,49.15,467.72
29,70.72,437.55
18.02,49.78,451.41
11.55,40.6,475.14
15.31,52.75,460.77
12.36,37.73,470.39
19.45,58.95,445.1
27.05,67.79,443.89
9.73,40.22,481.42
11.11,37.5,473.32
13.01,41.58,464.64
11.76,40.96,475.18
17.58,39.63,467.33
27.54,51.43,439.8
29.79,77.17,432.84
13.83,40.2,465.53
32.05,77.24,432.49
28.14,76.86,434.68
34.11,73.56,432.78
22.83,70.79,438
21.04,47.43,450.27
12.39,40.75,475.96
27.7,72.24,434.56
16.62,39.99,463.74
25.27,67.07,445.81
9.52,41.26,475.44
17.74,58.33,446.01
22.9,49.3,441.77
14.86,43.14,461.14
26.71,66.25,435.41
13.42,42.86,473.27
25.82,72.39,432.98
15.14,44.21,463.1
10.17,41.17,478.04
27.44,65.59,441.08
23.94,63.21,440.15
25.16,74.33,436.15
12.88,42.74,470.89
31.87,67.32,435.47
22.18,65.46,447.92
9.41,41.54,481.59
12.17,40.6,473.76
30.57,69.71,439.38
28.16,70.98,435.04
9.72,43.41,474.1
11.9,39.16,477.75
7.1,41.74,484.12
11.47,40.27,479.44
28.19,67.45,434.77
9.75,36.66,479.45
7.55,43.65,481.61
19.9,56.53,456.48
12.45,40.56,477.41
9.15,39.61,474.88
14.38,40.66,463.1
26.16,67.9,444.06
22.63,45.61,457.88
30.51,70.79,428.79
26.2,60.07,440.89
25.77,69.04,445.35
14.74,44.47,462.92
17.02,44.85,459.98
17.68,53.16,456.86
8.93,40.46,472.77
9.49,40.69,476.67
23.48,72.99,437.1
22.69,49.21,449.01
12.65,44.34,468.8
12.79,44.68,465.75
13.01,41.17,469.48
30.76,69.14,431.67
22.56,47.43,448.65
20.7,58.16,453.22
21.09,50.9,456.09
26.35,59.44,443.73
35.1,68.27,426.3
14.43,38.28,467.12
16.32,43.56,463.57
12.21,40.64,464.03
32.13,69.98,431.84
25.68,70.32,431.32
24.4,62.26,439.06
6.41,40.81,484.49
23.38,65.06,443.8
30.21,75.33,431.46
22.88,50.23,458.08
27.99,71.58,435.99
16.01,49.64,457.8
31.08,59.57,442.88
23.09,70.02,443.27
21.03,69.05,444.35
12.05,49.83,454.18
14.73,54.3,463.63
32.56,68.14,425.11
6.99,40.07,490.11
18.84,40.79,459.96
6.18,41.38,490.81
13.72,49.83,463.65
29.48,59.27,440.72
14.35,39.39,470.53
19.47,43.43,451.38
26.92,73.17,431.29
26.16,70.04,432.56
19.77,49.39,451.05
26.92,62.44,437.99
27.54,75.6,440.87
18.75,41.1,458.31
26.29,68.24,429.71
27.16,65.61,441.33
16,39.16,468.49
10.38,37.73,475.02
30.29,74.16,431.39
24.69,71.73,436.78
14.16,40.89,471.15
9.97,39.99,477.31
21.96,51.43,442.87
32.43,68.31,439.75
27.99,69.89,435.79
18.15,45.01,455.21
8.83,43.56,482.43
26.62,70.36,441.28
32.96,68.31,443.57
24.67,68.61,450.64
27.06,70.47,430.82
25,69.71,438.38
15.47,38.73,467.96
17.36,41.23,459.1
29.62,70.02,439.35
13.54,40.69,471.05
24.52,59.15,439.55
9.73,38.56,479.78
20.6,65.12,452.86
25.16,68.08,435.78
20.86,63.73,440.42
10.31,45.01,473.74
20.37,69.48,445.81
17.58,44.9,459.78
19.04,51.86,458.64
25.38,71.73,434.44
32.81,77.17,430.53
19.41,67.32,446.71
21.73,69.05,439.01
22.29,56.89,441.9
29.39,71.14,430.5
20.08,58.12,455.85
16.51,51.86,442.48
14.47,42.99,469
17.37,40.55,460.97
17.03,43.99,460.25
25.91,67.07,441.74
6.03,40.78,480.36
31.9,73.42,432.27
20.03,47.45,450.6
31.23,68.67,436.58
13.8,45.08,466.71
15.52,41.93,471.97
23.68,51.3,451.67
23.25,70.32,437.96
24.58,49.02,442.47
8.3,36.3,480.58
9.27,42.02,474.93
15.52,42.86,467.12
30.71,68.24,429.41
11.47,25.36,469.51
30.51,70.94,430.91
26.43,66.48,435.59
28.65,70.32,433.45
21.38,49.21,449.66
19.97,59.21,450.41
19.38,54.9,454.1
17.77,44.6,460.13
7.04,41.74,488.99
30.3,69.51,431.12
14.91,43.34,461.27
26.87,69.23,433.89
18.86,51.43,446.91
20.77,43.77,453.46
12.2,44.77,469.41
16.17,41.79,454.72
11.69,35.76,471.72
9.17,40.67,487.33
10.82,42.02,475.46
23.08,48.41,443.5
12.74,39.13,468.57
26.85,57.19,438.01
28.44,69.4,433.44
14.02,42.86,467.29
14.57,41.79,457.21
15.4,40.69,471.66
16.75,42.23,464.87
29.83,68.67,434.28
26.25,66.56,436.3
27.17,63.09,443.66
27.49,71.94,428.27
11.7,41.16,462.94
24.37,73.42,440.29
26.14,61.02,436.17
15.91,38.62,462.25
9.24,41.4,476.9
14.09,41.66,469.93
10.61,37.5,472.9
28.72,76.86,431.74
16.61,25.88,460.97
24.35,51.86,442.81
26.95,72.24,435.65
13.89,41.49,469.6
20.98,47.43,450
24.74,63.87,447.02
16.12,45.87,457.41
20.94,44.58,463.69
21.01,58.96,453.88
6.52,35.57,486.06
13.14,43.71,467.07
13.93,44.47,469.25
14.46,45.87,464.5
21.83,62.91,443.76
9.97,41.26,475.43
15.09,43.13,466.87
25.63,71.58,433.76
24.17,71.58,436.27
18.6,43.56,464.67
31.05,69.13,426.31
10.19,37.14,475.01
13.26,41.78,467.78
9.66,41.82,477.67
23.6,62.44,440.66
15.91,71.14,458.15
8.79,40.67,489.02
30.88,67.83,425.36
20.98,60.07,446.26
14.2,42.86,468.63
25.69,57.32,441.43
23.65,59.92,436.74
15.48,44.99,463.92
10.64,39.61,471.48
14.48,38.92,470.63
10.47,43.14,476.55
24.65,63.86,442.89
16.2,45.76,460.87
28.61,52.84,437.39
23.13,61.47,438.8
13.55,42.99,470.82
18.71,54.9,456.88
14.35,49.83,462.54
29.79,69.34,434.74
29.64,54.2,438.12
15.11,45.01,462.21
25.02,60.29,445.61
23.61,49.16,443.5
16.05,38.28,466.75
19.59,59.87,449.74
23.23,56.89,441.85
9.41,43.5,473.84
6.63,39.37,489.16
27.89,69.88,430.75
22.54,51.95,447.29
14,40.8,474.87
6.87,39.85,486.26
30.47,70.02,435.72
27.33,68.94,431.96
13.7,34.03,470.2
22.03,59.43,442.9
30.32,74.22,429.36
17.13,43.79,465.3
26.3,71.94,428.83
17.55,48.78,455.11
23.34,59.14,439.6
23.26,58.2,446.87
8.07,41.17,484.54
24.45,68.63,446.33
18.41,49.69,454.97
18.22,58.2,451.04
16.54,42.86,465.26
30.01,65.18,436.91
29.19,67.51,446.97
14.58,41.92,462.69
19.41,64.45,452.55
18.95,65.48,452.85
11.36,40.75,477.5
23.79,58.49,445.87
16.55,41.93,466.77
21.43,59.14,448.51
18.98,60.1,453.37
16.38,55.5,464.58
23.26,59.21,442.38
22.55,69.84,438.54
10.01,40.78,470.82
23.33,54.2,440.11
20.89,68.63,452.05
14.18,53.82,465.25
8.94,42.07,473.34
28.61,69.84,428.25
28.59,75.08,442.7
13.91,40.24,466.24
32.21,71.85,429.15
15.34,43.5,459.77
27,69.34,439.26
23.63,65.59,440.56
6.79,38.5,488.69
9.01,40.77,470.84
17.92,44.2,455.37
9.05,40.67,486.55
24.17,73.18,437.27
26.92,63.73,440.35
15.59,52.75,458.87
10.17,41.46,480.13
10.66,37.5,472.86
32.48,69.89,434.13
29.05,68.24,433.92
32.91,73.68,426.28
6.1,40.07,494.43
25.11,63.21,443.43
7.89,71.14,474.66
22.82,69.94,437.32
14.13,43.41,461.96
9.32,36.3,478.55
11.86,40.55,473.31
10.05,40.46,469.06
11.22,40.22,476.7
31.68,70.79,429.55
10.27,42.34,474.55
9.34,40.77,477.36
28.83,66.44,430.01
24.01,67.17,443.09
9.68,41.48,473.31
14.86,44.71,466.38
8.74,36.3,438.63
16.55,46.18,455.8
27.65,48.41,440.94
10.1,41.17,479.95
28.75,64.84,441.3
18.75,63.09,450.98
18.32,45,471.43
28.62,68.24,428.08
11.46,39.1,470.55
13.92,43.41,464.76
22.89,74.78,443.7
21.13,47.43,448.83
24.78,68.94,435.93
17.03,47.83,460.43
25.41,65.12,442.86
21.47,60.93,442.75
10.8,41.39,478.75
11.67,36.18,472.76
19.61,56.65,457.41
21.48,47.43,449.2
21.48,66.91,447.42
14.17,43.13,471.08
24.15,64.63,448.87
28.81,69.23,433.74
16.53,46.18,458.67
22.1,68.12,440.08
16.22,50.88,454.94
10.9,40.67,482.4
13.9,40.2,464.17
30.61,77.17,430.46
5.9,45.87,481.27
5.67,45.87,478.44
17.82,65.94,452.82
9.34,41.49,471.04
27.07,66.93,446.48
25.52,71.98,433.42
33.37,79.05,430.42
22.25,66.54,437.19
28.34,63.77,439.75
32.87,71.32,433.15
9.84,40.72,477.52
15.8,53.82,463.09
21.96,71.85,441.52
8.3,40.35,481.77
8.39,36.3,479.57
12.55,39.58,472.31
24.37,65.61,443.13
33.43,69.88,435.59
13.04,41.04,464.91
13.52,39.39,474.82
11.46,38.91,477.5
19.75,57.32,443.63
7.19,39.37,480.4
26.76,70.98,437.83
29.67,71.98,425.14
32.86,66.44,429.32
10.02,52.75,473.09
17.41,40.55,461.47
26.53,65.61,442.64
29.82,69.75,442.6
30.56,69.14,432.26
13.92,43.5,461.45
19.94,38.52,450.48
21.03,44.78,459.72
31.33,65.18,435.77
11.7,41.16,464.12
16.94,50.59,460.64
26.06,67.83,432.28
15.39,42.28,467.3
10.98,37.5,472.34
28.41,74.16,439.2
4.88,40.27,491.29
6.58,40.67,494.84
13.79,40,461.16
27.16,71.32,430.53
7.65,41.01,475.89
16.3,41.16,463.47
23.04,63.86,446.22
25.74,65.38,452.94
24.31,44.05,442.69
23.43,69.23,441.6
14.91,46.9,461.73
31.28,75.08,438.63
25.84,67.83,433.32
24.57,49.82,452.3
13.42,48.04,461.36
25.31,65.59,440.96
22.78,59.92,440.87
20.19,58.86,450.67
17.98,39.63,466.69
22.71,75.23,444
13.68,41.7,464.46
24.87,65.75,435.6
7.53,41.74,487.25
24.97,68.61,453.26
13.55,40.71,467.21
8.66,40.11,479.76
16.84,45.01,456.85
23.05,68.67,447.34
17.7,49.78,451.24
19.39,68.61,446.47
30.05,56.9,437.55
19.82,63.9,449.61
19.1,56.53,455.52
17.47,43.56,460.87
23.86,45.87,446.67
26.31,63.77,440.1
26.74,69.89,436.02
9.94,40.46,473.74
27.01,71.25,431.38
21.01,51.19,446.2
34.97,73.56,435.15
22.51,68.63,450.75
21.03,67.45,447.11
29.05,75.6,439.14
23.6,57.17,446.05
5.62,43.65,481.69
21.16,65.48,446.37
21.89,58.62,450.05
9.66,40.05,481.14
25.69,59.07,440.6
8.33,38.08,481.89
7.32,41.22,484.21
21.11,41.67,460.33
12.25,40.75,475.07
24.57,51.95,448.15
16.64,48.92,452.56
11.57,41.54,476.89
29.23,75.6,438.92
32.37,67.83,426.76
26.17,58.86,443.69
6.05,38.68,483.5
8.64,41.66,481.89
25.91,75.6,443.2
25.02,59.92,436.64
25.96,68.08,435.84
25.5,59.27,442.65
14.85,45.01,460.19
19.06,44.63,456.54
15.22,41.67,469.93
26.07,71.37,439.25
7.62,44.71,486.07
16.94,49.64,459.25
26.18,69.14,436
21.91,48.7,449.8
23.24,63.78,446.95
22.48,50.05,442.56
12.8,41.16,462.72
26.17,66.54,433.81
29.71,73.18,427.04
7.41,39.16,486.91
16.25,58.16,458.31
14.28,44.84,474.57
22.12,47.93,443.41
23.06,63.9,447.36
13.46,39.85,472.5
26.76,49.02,439.4
28.57,51.43,450.04
10.31,38.18,476.31
28.47,69.23,434.12
8.35,40.77,478.82
24.42,57.32,443.94
25.64,50.05,440.86
7.69,39.96,478.05
11.54,45.51,474.73
15.62,40.89,466.15
18.74,45.09,456.25
20.12,65.94,447.46
17.85,48.14,451.9
17.21,52.9,460.88
20.99,67.07,442.02
17.69,46.36,462.81
20.58,49.15,453.87
12.04,38.25,472.13
29.07,71.64,440.51
21.81,65.46,444.66
9.48,40.8,485.36
13.69,44.85,470.78
32.18,69.75,438.26
23.48,60.23,437.44
27.82,76.09,434.52
25.26,74.33,433.49
14.12,42.99,468.45
23.14,60.27,442.59
17.74,50.88,457.71
10.15,41.17,480.71
8.35,43.79,484.21
20.35,68.61,450.89
22.06,45.61,455.61
15.64,44.21,462.42
9.32,36.66,479.13
29.28,65.71,445.49
7.52,39.61,481.54
29.08,67.79,442.78
7.55,42.85,484.93
26.51,44.57,445.32
26.52,63.94,440.47
8.07,41.17,484.54
25.35,63.21,442.23
11.36,41.48,465.37
11.89,40.64,476.99
20.19,66.86,454.84
20.04,48.92,447.89
10.32,39.28,478.88
12.01,41.48,469.08
23.08,61.86,441.44
19.81,66.54,449.07
24.1,71.29,442.8
14.47,39.58,467.34
32.25,77.54,430.86
9.51,40.81,475.29
12.63,41.48,461.09
30.91,76.2,434.94
8.38,39.22,478.82
22.63,57.17,433.54
5.71,40.77,487.48
13.09,43.67,474.45
22.72,62.4,445.22
23.67,72.24,435.94
18.19,43.96,464.58
25.58,47.01,454.39
6.79,40,480.83
19.05,62.96,454.26
25.32,63.77,441.5
15.09,39.52,469.8
23.44,72.24,438.34
8.26,44.71,485.19
17.22,36.71,465.32
27.46,68.08,433.72
11.52,40.03,472.31
27.55,63.13,440.75
6.5,38.5,486.78
13.35,39.58,465.85
21.5,59.87,444.05
22.46,48.41,442.57
22.05,63.31,444.37
18.28,41.1,460.03
14.56,53.82,463.64
26,70.47,435.05
13.14,40.66,466.95
24.17,59.44,447.13
26.11,73.17,434.94
9.38,44.77,473.9
18.77,49.21,454.86
10,39.66,479.97
10.1,44.03,471.59
10.35,40.27,477.8
12.95,40.1,471.07
21.76,47.93,444.77
25.06,52.36,454.13
8.39,52.72,473.45
23.56,71.85,439.48
23.58,58.82,445.01
20.71,45.61,457.4
13.4,41.78,466.68
10.36,41.46,478.27
13.67,42.32,464.56
29.35,71.58,434.45
6.61,36.24,483.12
13.92,39.85,473.47
27.18,62.66,442.16
11.41,41.54,477.89
26.61,69.13,430.17
20.32,67.71,446.22
20.97,44.63,453.26
25.34,49.5,457.12
6.22,39.85,443.73
11.87,36.43,474.17
11.92,41.2,476
28.15,71.25,431.28
28.01,65.34,440.77
16.51,41.79,457.74
13.51,39.31,466.46
18.34,65.94,451.29
10.04,41.62,463.87
20.3,56.53,454.12
18.6,56.85,450.26
19.79,51.19,447.96
11.18,39.61,468.75
10.91,40.1,478.34
18.92,46.93,453.66
14.1,42.18,463.3
24.69,59.92,436.33
23.61,43.77,444.55
27,60.96,450.15
15.87,45,470.85
30.2,74.34,431.77
14.18,39.3,464.32
11.23,43.67,475.41
32.95,75.08,436.3
24.33,46.93,447.54
9.55,38.08,479.23
27.58,65.27,441.3
25.56,58.82,441
5.74,37.8,490.81
8.22,41.82,477.86
23.18,59.04,443.12
26.91,70.02,445.31
16.14,54.3,460.73
20.69,50.78,447.58
24.18,66.48,433.37
2.8,39.64,482.66
25.26,65.61,447.34
10.11,52.75,470.35
17.44,45.01,456.08
25.37,59.14,437.19
9.45,41.92,467.79
10.39,39.69,473
26.2,74.67,430.22
22.85,47.43,448.15
12.65,44.03,466.01
15.14,41.93,469.68
28.51,70.02,441.66
22.55,70.79,436.43
24.35,66.49,439.15
12.64,41.79,461.46
24.2,64.33,442.78
7.52,41.66,483.28
21.54,58.12,454.32
23.43,60.32,446.88
23.24,63.76,441.35
24.67,69.14,440.03
6.77,40.78,478.24
31.94,69.98,432.03
20.83,49.02,445.31
8.37,39.99,482.31
13.75,44.47,467.14
30.82,70.36,439.16
25.16,57.17,442.03
22.1,65.48,447
18.7,52.72,458.06
19.76,58.79,449.76
28.45,69.23,436.96
13.58,49.83,465.82
20.83,67.32,443.17
5.85,41.55,484.47
16.99,40.89,464.95
10.68,37.92,474.03
14.65,35.4,469.61
26.2,71.14,431.7
32.74,68.31,441.66
15.78,41.16,464.85
12.41,39.28,473.86
25.36,60.07,439.73
20.56,60.08,452.8
24.92,63.86,440.93
31.88,67.32,436.64
24.51,51.86,446.74
8.48,40.05,483.5
27.76,71.97,434.04
12.08,41.39,477.8
23.56,73.18,437.92
11.77,41.06,475.88
21.37,65.94,444.74
14.02,43.34,466.38
17.53,44.9,457.61
14.89,35.71,469.37
14.81,43.7,469.5
28.99,68.24,428.28
30.49,70.32,434.76
21.59,66.54,441.71
24.46,61.9,441.34
21.63,50.16,448.32
21.46,46.63,452.1
5.7,40.35,488.8
27.11,70.04,431.96
9.95,41.82,477.52
18.68,46,447.8
18.41,65.94,452.66
19.02,49.25,453.49
26.25,61.02,436.44
18.07,63.31,456.5
26.17,70.47,434.56
23.83,49.21,446.23
21.11,59.39,446.02
13.9,42.86,473.76
26.64,73.56,432.93
21.5,45.38,460.18
11.61,41.17,476.81
6.13,39.48,484.12
12.72,40.6,471.23
17.29,44.63,460.66
31.8,69.05,426.5
19.16,43.43,451
23.62,73.67,438.33
7.87,41.17,486.2
25.78,59.15,441.71
29.29,72.58,428.73
29.58,76.2,433.91
24.29,63.57,443.28
25.25,58.46,444.05
31.74,72.58,425.12
7.39,39.85,487.84
28.5,79.74,433.08
29.98,67.22,445.3
22.94,61.5,445.31
25.85,70.36,433.06
21.09,74.93,443.51
27.28,47.93,438
23.86,59.21,441.22
13.33,40.64,474.07
23.66,60.37,438.59
16.8,44.9,456.42
22.12,57.19,442.51
24.82,57.19,439.91
11.09,40.43,490.96
7.64,40.81,483.38
27.78,60.07,439.43
6.49,38.68,485.95
10.97,40.6,478.69
25.27,63.91,440.39
14.07,43.34,463.77
18.9,47.83,455.94
4.49,38.44,485.78
5.94,39.9,485.86
21.94,64.15,453.3
21.35,59.04,445.83
7.94,35.77,480.38
23.6,60.08,451.97
29.73,67.25,439.06
10.51,39.04,479.15
8.7,36.24,478.69
29.6,69.82,438.47
24.26,56.57,442.9
20.61,60.1,450.46
14.2,38.62,465.29
8.77,42.49,469.1
27.38,69.4,434.47
12.98,39.64,473.54
32.38,73.91,430.17
19.2,58.71,448.17
27.37,63.73,437.24
18.77,58.66,454.54
21.95,59.43,442.84
26.73,77.95,434.76
16.02,71.14,456.35
18.86,46.48,452
21.7,64.44,448.51
20.25,44.78,462.44
11.42,41.38,479.23
6.37,41.03,490.47
14.54,42.99,468.93
24.43,58.05,445.68
15.92,37.64,464.14
27.51,71.29,430.42
23.64,60.95,447.86
9,41.54,484.08
28.98,73.42,432.2
18.31,50.9,455.5
15.82,44.2,460.2
14.88,41.66,468.55
27.49,63.78,445.66
10.74,41.46,479.94
18.21,62.26,455.88
17.2,40.55,462.55
8.66,36.25,479.66
20.59,42.04,463.08
22.86,58.96,451.82
23.31,68.63,448.2
16.71,42.99,465.09
4.97,38.91,489.96
31.95,70.8,432.79
